Date Key,Date,Day,WeekNo,Month,MonthShort,MonthNo,Quater,Year
20240101,01-01-2024,Sunday,1,January,Jan,1,1,2024
20240102,02-01-2024,Monday,1,January,Jan,1,1,2024
20240103,03-01-2024,Tuesday,1,January,Jan,1,1,2024
20240104,04-01-2024,Wednesday,1,January,Jan,1,1,2024
20240105,05-01-2024,Thursday,1,January,Jan,1,1,2024
20240106,06-01-2024,Friday,1,January,Jan,1,1,2024
20240107,07-01-2024,Saturday,1,January,Jan,1,1,2024
20240108,08-01-2024,Sunday,2,January,Jan,1,1,2024
20240109,09-01-2024,Monday,2,January,Jan,1,1,2024
20240110,10-01-2024,Tuesday,2,January,Jan,1,1,2024
20240111,11-01-2024,Wednesday,2,January,Jan,1,1,2024
20240112,12-01-2024,Thursday,2,January,Jan,1,1,2024
20240113,13-01-2024,Friday,2,January,Jan,1,1,2024
20240114,14-01-2024,Saturday,2,January,Jan,1,1,2024
20240115,15-01-2024,Sunday,3,January,Jan,1,1,2024
20240116,16-01-2024,Monday,3,January,Jan,1,1,2024
20240117,17-01-2024,Tuesday,3,January,Jan,1,1,2024
20240118,18-01-2024,Wednesday,3,January,Jan,1,1,2024
20240119,19-01-2024,Thursday,3,January,Jan,1,1,2024
20240120,20-01-2024,Friday,3,January,Jan,1,1,2024
20240121,21-01-2024,Saturday,3,January,Jan,1,1,2024
20240122,22-01-2024,Sunday,4,January,Jan,1,1,2024
20240123,23-01-2024,Monday,4,January,Jan,1,1,2024
20240124,24-01-2024,Tuesday,4,January,Jan,1,1,2024
20240125,25-01-2024,Wednesday,4,January,Jan,1,1,2024
20240126,26-01-2024,Thursday,4,January,Jan,1,1,2024
20240127,27-01-2024,Friday,4,January,Jan,1,1,2024
20240128,28-01-2024,Saturday,4,January,Jan,1,1,2024
20240129,29-01-2024,Sunday,5,January,Jan,1,1,2024
20240130,30-01-2024,Monday,5,January,Jan,1,1,2024
20240131,31-01-2024,Tuesday,5,January,Jan,1,1,2024
20240201,01-02-2024,Wednesday,5,February,Feb,2,1,2024
20240202,02-02-2024,Thursday,5,February,Feb,2,1,2024
20240203,03-02-2024,Friday,5,February,Feb,2,1,2024
20240204,04-02-2024,Saturday,5,February,Feb,2,1,2024
20240205,05-02-2024,Sunday,6,February,Feb,2,1,2024
20240206,06-02-2024,Monday,6,February,Feb,2,1,2024
20240207,07-02-2024,Tuesday,6,February,Feb,2,1,2024
20240208,08-02-2024,Wednesday,6,February,Feb,2,1,2024
20240209,09-02-2024,Thursday,6,February,Feb,2,1,2024
20240210,10-02-2024,Friday,6,February,Feb,2,1,2024
20240211,11-02-2024,Saturday,6,February,Feb,2,1,2024
20240212,12-02-2024,Sunday,7,February,Feb,2,1,2024
20240213,13-02-2024,Monday,7,February,Feb,2,1,2024
20240214,14-02-2024,Tuesday,7,February,Feb,2,1,2024
20240215,15-02-2024,Wednesday,7,February,Feb,2,1,2024
20240216,16-02-2024,Thursday,7,February,Feb,2,1,2024
20240217,17-02-2024,Friday,7,February,Feb,2,1,2024
20240218,18-02-2024,Saturday,7,February,Feb,2,1,2024
20240219,19-02-2024,Sunday,8,February,Feb,2,1,2024
20240220,20-02-2024,Monday,8,February,Feb,2,1,2024
20240221,21-02-2024,Tuesday,8,February,Feb,2,1,2024
20240222,22-02-2024,Wednesday,8,February,Feb,2,1,2024
20240223,23-02-2024,Thursday,8,February,Feb,2,1,2024
20240224,24-02-2024,Friday,8,February,Feb,2,1,2024
20240225,25-02-2024,Saturday,8,February,Feb,2,1,2024
20240226,26-02-2024,Sunday,9,February,Feb,2,1,2024
20240227,27-02-2024,Monday,9,February,Feb,2,1,2024
20240228,28-02-2024,Tuesday,9,February,Feb,2,1,2024
20240229,29-02-2024,Wednesday,9,February,Feb,2,1,2024
20240301,01-03-2024,Thursday,9,March,Mar,3,1,2024
20240302,02-03-2024,Friday,9,March,Mar,3,1,2024
20240303,03-03-2024,Saturday,9,March,Mar,3,1,2024
20240304,04-03-2024,Sunday,10,March,Mar,3,1,2024
20240305,05-03-2024,Monday,10,March,Mar,3,1,2024
20240306,06-03-2024,Tuesday,10,March,Mar,3,1,2024
20240307,07-03-2024,Wednesday,10,March,Mar,3,1,2024
20240308,08-03-2024,Thursday,10,March,Mar,3,1,2024
20240309,09-03-2024,Friday,10,March,Mar,3,1,2024
20240310,10-03-2024,Saturday,10,March,Mar,3,1,2024
20240311,11-03-2024,Sunday,11,March,Mar,3,1,2024
20240312,12-03-2024,Monday,11,March,Mar,3,1,2024
20240313,13-03-2024,Tuesday,11,March,Mar,3,1,2024
20240314,14-03-2024,Wednesday,11,March,Mar,3,1,2024
20240315,15-03-2024,Thursday,11,March,Mar,3,1,2024
20240316,16-03-2024,Friday,11,March,Mar,3,1,2024
20240317,17-03-2024,Saturday,11,March,Mar,3,1,2024
20240318,18-03-2024,Sunday,12,March,Mar,3,1,2024
20240319,19-03-2024,Monday,12,March,Mar,3,1,2024
20240320,20-03-2024,Tuesday,12,March,Mar,3,1,2024
20240321,21-03-2024,Wednesday,12,March,Mar,3,1,2024
20240322,22-03-2024,Thursday,12,March,Mar,3,1,2024
20240323,23-03-2024,Friday,12,March,Mar,3,1,2024
