ProductKey,Product Item Code,Product Name,Product Color,Product Size,Product Weight,Product Line,Product Model Name,Product Sub-Category,Product Category,Product Status
1,AR-5381,Adjustable Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
13,CS-2812,Chain Stays,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
14,DC-8732,Decal 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
15,DC-9824,Decal 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
16,DT-2377,Down Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
17,EC-M092,Mountain End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
18,EC-R098,Road End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
19,EC-T209,Touring End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
20,FE-3760,Fork End,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
21,FH-2981,Freewheel,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
22,FW-1000,Flat Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
23,FW-1200,Flat Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
24,FW-1400,Flat Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
25,FW-3400,Flat Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
26,FW-3800,Flat Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
27,FW-5160,Flat Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
28,FW-5800,Flat Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
29,FW-7160,Flat Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
30,FW-9160,Flat Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
31,FC-3654,Fork Crown,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
32,FC-3982,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
33,FL-2301,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
34,GP-0982,Guide Pulley,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
35,GT-0820,LL Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
36,GT-1209,ML Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
37,GT-2908,HL Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
38,HJ-1213,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
39,HJ-1220,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
